kernel,cpu_time_total_us,self_cpu_time_total_us,cpu_time_avg_us,calls_cpu
aten::_log_softmax_backward_data,1937.917000008747,1937.917000008747,121.11981250054669,16
autograd::engine::evaluate_function: ToCopyBackward0,581954.5419999938,23901.493000105023,288.667927579362,2016
ToCopyBackward0,447646.4909999706,9979.138000098988,222.0468705356997,2016
autograd::engine::evaluate_function: AddmmBackward0,52557719.50999985,29954.72199966386,86443.61761513133,608
AddmmBackward0,52312425.33500005,48860.934000674635,86040.17324835535,608
aten::mm,52213661.28799965,52212187.61899959,42938.86619078919,1216
aten::sum,212466.3400001172,209082.47400005627,340.4909294873673,624
autograd::engine::evaluate_function: TBackward0,18529.427999992855,4011.8090001009405,30.47603289472509,608
TBackward0,14517.618999891914,3883.117999861948,23.877662828769598,608
autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,26187.265000141226,6415.865999950096,15.73753906258487,1664
torch::autograd::AccumulateGrad,19771.39900019113,8705.991000381298,11.881850360691784,1664
aten::detach,11065.407999809831,3743.3329997565597,6.649884615270332,1664
detach,7322.075000053272,7322.075000053272,4.400285456762783,1664
autograd::engine::evaluate_function: MulBackward0,73025.66100004409,2504.1880000624806,326.0074151787682,224
MulBackward0,70521.4729999816,1997.9689999846742,314.8280044642036,224
autograd::engine::evaluate_function: ReluBackward0,9588.339999985881,87.0769999595359,599.2712499991176,16
ReluBackward0,9501.263000026345,107.14500000700355,593.8289375016466,16
aten::threshold_backward,9394.118000019342,9394.118000019342,587.1323750012089,16
autograd::engine::evaluate_function: SelectBackward0,5787.428999998607,128.23099999316037,361.7143124999129,16
SelectBackward0,5659.198000005446,99.43300001416355,353.6998750003404,16
aten::select_backward,5559.764999991283,251.92699992563576,347.4853124994552,16
aten::zeros,265019.59700005036,2149.5030001048,4140.931203125787,64
autograd::engine::evaluate_function: SliceBackward0,8995.744999997318,138.79399998206645,562.2340624998324,16
SliceBackward0,8856.951000015251,97.83400000445545,553.5594375009532,16
aten::slice_backward,8759.117000010796,1746.7790000187233,547.4448125006747,16
autograd::engine::evaluate_function: NativeLayerNormBackward0,153846.69500000495,6387.08699995745,739.6475721154085,208
NativeLayerNormBackward0,147459.6080000475,3389.5970001025125,708.9404230771514,208
aten::native_layer_norm_backward,144070.010999945,139370.2679998288,692.6442836535817,208
autograd::engine::evaluate_function: AddBackward0,52081.004999970086,2836.213999936357,250.38944711524078,208
AddBackward0,590.4320000577718,590.4320000577718,2.8386153848931337,208
autograd::engine::evaluate_function: ViewBackward0,108128.86599996872,8310.628000018187,66.25543259802005,1632
ViewBackward0,99818.23799995054,7559.731999848969,61.163136029381455,1632
autograd::engine::evaluate_function: GeluBackward0,269834.5799999945,3694.5840000193566,2810.7768749999427,96
GeluBackward0,266139.99599997513,1281.7510000085458,2772.291624999741,96
aten::gelu_backward,264858.2449999666,264858.2449999666,2758.9400520829854,96
aten::add_,349934.64400005713,312353.1580004599,94.27118642242918,3712
autograd::engine::evaluate_function: CloneBackward0,1778.0800000065938,1443.879999961704,4.630416666683838,384
CloneBackward0,334.20000004488975,334.20000004488975,0.8703125001169004,384
autograd::engine::evaluate_function: TransposeBackward0,9477.224000185728,2258.785000072792,19.7442166670536,480
TransposeBackward0,7218.439000112936,1687.0180001566187,15.038414583568617,480
autograd::engine::evaluate_function: UnsafeViewBackward0,45131.09300003108,2873.56900018733,94.02311041673141,480
UnsafeViewBackward0,42257.52399984375,2814.7199999745935,88.0365083330078,480
autograd::engine::evaluate_function: BmmBackward0,390732.34900002554,4023.522999963723,2035.0643177084664,192
BmmBackward0,386708.8260000618,4788.63900010474,2014.108468750322,192
autograd::engine::evaluate_function: ExpandBackward0,1935.5109999356791,1464.3449998935685,5.040393228999164,384
ExpandBackward0,471.1660000421107,471.1660000421107,1.22699479177633,384
autograd::engine::evaluate_function: SafeSoftmaxBackward0,44322.272000031546,1308.9499999945983,461.69033333366195,96
SafeSoftmaxBackward0,43013.32200003695,1775.792000072077,448.05543750038487,96
aten::_softmax_backward_data,41237.52999996487,41237.52999996487,429.55760416630073,96
autograd::engine::evaluate_function: MulBackward1,66651.06299991067,1862.6929999515414,347.14095312453475,192
MulBackward1,64788.36999995913,1081.0909999879077,337.4394270831205,192
aten::_reshape_alias,610.1339999735355,610.1339999735355,6.3555624997243285,96
autograd::engine::evaluate_function: EmbeddingBackward0,266816.09200001694,690.6870000138879,8338.00287500053,32
EmbeddingBackward0,266125.40500000305,218.00800000876188,8316.418906250095,32
aten::embedding_backward,265907.3969999943,159.43400004133582,8309.606156249822,32
aten::embedding_dense_backward,265747.96299995296,8503.081999931484,8304.62384374853,32
Optimizer.step#Adam.step,4500327.681999994,196948.37299967743,281270.48012499965,16
aten::lift_fresh,25.17700000293553,25.17700000293553,0.2420865384897647,104
aten::detach_,250.40300000086427,179.73700000718236,2.4077211538544643,104
detach_,70.66599999368191,70.66599999368191,0.6794807691700183,104
aten::zeros_like,100195.03500001691,639.0200000181794,481.7068990385429,208
aten::lerp_,446207.58000000566,446207.58000000566,268.1535937500034,1664
aten::mul_,243469.00199997984,225941.79299998097,146.31550600960327,1664
aten::addcmul_,388991.50599995814,388991.50599995814,233.76893389420562,1664
aten::sqrt,1232084.8910001833,1232084.8910001833,740.4356316106871,1664
aten::div,665371.5299999453,643127.8460000213,399.8626983172748,1664
aten::addcdiv_,979401.047999952,979401.047999952,588.5823605768942,1664
